Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$32.4M,"India, Germany, Japan",Uae,231,High,1905,Qtr 3,July,5,7,New Melissa,1905,Multi-Channeled Motivating Toolset,Manned,3,Research,82,Ai Navigation
$47.9M,"India, Germany, Russia",India,154,Low,1905,Qtr 3,July,7,7,Elizabethside,1905,Centralized Multi-Tasking Monitoring,Unmanned,3,Spy,61,Reusable Rocket
$45.0M,"India, Germany, Russia",Uae,144,High,1905,Qtr 3,July,9,7,Cooperland,1905,Upgradable Global Concept,Unmanned,3,Weather,54,Ai Navigation
$38.5M,"India, Germany, Uae",Germany,21,Low,1905,Qtr 3,July,7,7,West Cory,1905,Grass-Roots Maximized Definition,Unmanned,3,Research,63,Solar Propulsion
$31.2M,"India, Germany, Uae",Russia,34,Medium,1905,Qtr 3,July,1,7,West Kaylashire,1905,Customizable Systemic Secured Line,Unmanned,3,Spy,81,Nuclear Propulsion
$9.2M,"India, Germany, Usa",Japan,214,High,1905,Qtr 2,June,28,6,Davishaven,1905,Distributed Zero Administration Extranet,Manned,2,Weather,59,Ai Navigation
$29.5M,"India, Germany, Usa",Russia,212,Low,1905,Qtr 3,July,5,7,Riverashire,1905,Upgradable National Functionalities,Manned,3,Communication,75,Ai Navigation
$26.0M,"India, Israel",France,47,Low,1905,Qtr 3,July,13,7,East Alexis,1905,Stand-Alone Human-Resource Policy,Unmanned,3,Weather,94,Solar Propulsion
$31.7M,"India, Israel",Germany,278,Medium,1905,Qtr 2,June,26,6,South David,1905,Stand-Alone Incremental Hardware,Unmanned,2,Weather,91,Solar Propulsion
$29.5M,"India, Israel",Israel,302,High,1905,Qtr 2,June,24,6,New Kathryn,1905,Open-Architected Web-Enabled Throughput,Manned,2,Research,64,Reusable Rocket
$49.4M,"India, Israel",Israel,217,Low,1905,Qtr 3,July,3,7,Port Lisaborough,1905,Integrated Exuding Matrix,Unmanned,3,Spy,68,Traditional Rocket
$13.9M,"India, Israel",Israel,9,Medium,1905,Qtr 3,July,4,7,New Markton,1905,Universal Background Knowledgebase,Unmanned,3,Communication,74,Traditional Rocket
$21.7M,"India, Israel",Japan,180,Medium,1905,Qtr 3,July,13,7,New Lauraburgh,1905,Ameliorated Human-Resource Data-Warehouse,Manned,3,Communication,75,Reusable Rocket
$24.8M,"India, Israel",Uk,12,Low,1905,Qtr 3,July,1,7,New Donberg,1905,Organized System-Worthy Groupware,Unmanned,3,Spy,68,Traditional Rocket
$22.7M,"India, Israel",Uk,136,Low,1905,Qtr 3,July,8,7,Wardside,1905,Reactive Dynamic Moderator,Manned,3,Communication,61,Ai Navigation
$44.1M,"India, Israel",Usa,307,Low,1905,Qtr 2,June,26,6,Port Zacharyton,1905,Enterprise-Wide Object-Oriented Policy,Unmanned,2,Spy,68,Nuclear Propulsion
$29.9M,"India, Israel, France",France,91,Low,1905,Qtr 3,July,2,7,Heathershire,1905,Grass-Roots Scalable Access,Unmanned,3,Navigation,87,Solar Propulsion
$31.8M,"India, Israel, France",France,131,Low,1905,Qtr 3,July,4,7,Port Anthony,1905,Expanded Zero-Defect Archive,Manned,3,Navigation,51,Solar Propulsion
$29.1M,"India, Israel, Uae",Japan,325,High,1905,Qtr 2,June,23,6,Bowersborough,1905,Assimilated Foreground Firmware,Manned,2,Research,51,Traditional Rocket
$29.2M,"India, Israel, Uae",Uae,149,Medium,1905,Qtr 2,June,24,6,West Eric,1905,Decentralized Executive Task-Force,Manned,2,Weather,99,Solar Propulsion
$8.5M,"India, Israel, Uae",Usa,353,Low,1905,Qtr 3,July,14,7,Port Justin,1905,Ameliorated Heuristic Projection,Manned,3,Navigation,50,Nuclear Propulsion
$18.8M,"India, Israel, Usa",Uae,59,High,1905,Qtr 3,July,16,7,Gregoryland,1905,Re-Contextualized Coherent Algorithm,Manned,3,Weather,68,Ai Navigation
$46.3M,"India, Japan",China,125,High,1905,Qtr 3,July,10,7,North Justinstad,1905,Right-Sized Transitional Knowledgebase,Manned,3,Navigation,82,Solar Propulsion
$0.6M,"India, Japan",China,332,Low,1905,Qtr 2,June,24,6,Coleshire,1905,Adaptive Bandwidth-Monitored Workforce,Unmanned,2,Research,75,Ai Navigation
$26.3M,"India, Japan",France,9,Medium,1905,Qtr 2,June,29,6,Kellerport,1905,Cross-Group Bandwidth-Monitored Graphical User Interface,Unmanned,2,Spy,64,Reusable Rocket
$18.1M,"India, Japan",Germany,342,Medium,1905,Qtr 3,July,14,7,Jamesfurt,1905,Vision-Oriented Modular Website,Manned,3,Navigation,85,Reusable Rocket
$29.7M,"India, Japan",India,17,Medium,1905,Qtr 3,July,14,7,West Jeffreyport,1905,Optimized Fault-Tolerant Adapter,Unmanned,3,Weather,92,Traditional Rocket
$45.2M,"India, Japan",India,16,Medium,1905,Qtr 3,July,17,7,Annafort,1905,Advanced Multimedia Definition,Manned,3,Communication,53,Traditional Rocket
$40.7M,"India, Japan",Israel,247,Low,1905,Qtr 3,July,6,7,West Caleb,1905,Public-Key 3Rdgeneration Database,Manned,3,Spy,55,Nuclear Propulsion
$22.9M,"India, Japan",Israel,205,Low,1905,Qtr 3,July,10,7,East Catherine,1905,Fully-Configurable Didactic Project,Unmanned,3,Research,89,Ai Navigation
$22.4M,"India, Japan",Japan,332,Low,1905,Qtr 3,July,8,7,Mcdonaldtown,1905,Optimized Zero-Defect System Engine,Manned,3,Communication,62,Ai Navigation
$17.6M,"India, Japan",Russia,7,Low,1905,Qtr 3,July,3,7,East Susan,1905,Assimilated 6Thgeneration Middleware,Manned,3,Spy,51,Solar Propulsion
$15.3M,"India, Japan",Russia,102,Medium,1905,Qtr 3,July,11,7,North Ericaland,1905,User-Friendly Upward-Trending Migration,Manned,3,Research,66,Traditional Rocket
$26.0M,"India, Japan",Uae,220,Low,1905,Qtr 2,June,23,6,North Ethanfurt,1905,Balanced Non-Volatile Flexibility,Manned,2,Navigation,82,Traditional Rocket
$32.1M,"India, Japan",Uk,165,High,1905,Qtr 3,July,5,7,Port Sarahville,1905,Customer-Focused Neutral Service-Desk,Unmanned,3,Research,73,Solar Propulsion
$41.0M,"India, Japan",Uk,323,Medium,1905,Qtr 2,June,24,6,New Christopherstad,1905,Future-Proofed Analyzing Challenge,Manned,2,Research,92,Nuclear Propulsion
$0.7M,"India, Japan",Usa,305,Low,1905,Qtr 3,July,10,7,Alexmouth,1905,Digitized Leadingedge Data-Warehouse,Unmanned,3,Weather,94,Reusable Rocket
$11.6M,"India, Japan, China",China,351,Low,1905,Qtr 2,June,27,6,Craigmouth,1905,Mandatory Client-Server Graphic Interface,Manned,2,Navigation,74,Ai Navigation
$49.7M,"India, Japan, China",India,243,Medium,1905,Qtr 2,June,22,6,North Edward,1905,Total Object-Oriented Budgetary Management,Manned,2,Weather,97,Solar Propulsion
$12.8M,"India, Japan, France",Uae,282,Medium,1905,Qtr 3,July,1,7,Lake Stacytown,1905,Persevering 3Rdgeneration Leverage,Manned,3,Navigation,76,Solar Propulsion
$5.6M,"India, Japan, Germany",France,343,High,1905,Qtr 3,July,11,7,South Misty,1905,Exclusive Neutral Function,Manned,3,Communication,54,Reusable Rocket
$38.9M,"India, Japan, Germany",Russia,76,High,1905,Qtr 3,July,6,7,East Kara,1905,Cross-Group Motivating Capability,Unmanned,3,Communication,63,Nuclear Propulsion
$29.5M,"India, Japan, Germany",Usa,2,High,1905,Qtr 2,June,28,6,Ashleyfurt,1905,Open-Source Didactic Infrastructure,Unmanned,2,Spy,51,Solar Propulsion
$2.3M,"India, Japan, Israel",Usa,196,Low,1905,Qtr 3,July,7,7,Cordovafort,1905,Robust Asymmetric Customer Loyalty,Unmanned,3,Communication,66,Nuclear Propulsion
$7.1M,"India, Japan, Uae",France,293,High,1905,Qtr 3,July,11,7,New Jeffrey,1905,Face-To-Face Multimedia Time-Frame,Unmanned,3,Research,100,Nuclear Propulsion
$45.5M,"India, Japan, Uk",Uk,267,Medium,1905,Qtr 3,July,14,7,New Brett,1905,Compatible Tertiary Monitoring,Manned,3,Spy,90,Solar Propulsion
$6.9M,"India, Japan, Usa",Usa,220,Low,1905,Qtr 3,July,4,7,Brandonland,1905,Operative Coherent Model,Manned,3,Communication,56,Solar Propulsion
$31.9M,"India, Russia",China,143,High,1905,Qtr 2,June,26,6,Aprilfurt,1905,Business-Focused Optimal Protocol,Manned,2,Communication,75,Ai Navigation
$38.3M,"India, Russia",France,284,High,1905,Qtr 3,July,16,7,Ericstad,1905,Multi-Tiered Holistic Array,Unmanned,3,Weather,57,Ai Navigation
$15.8M,"India, Russia",France,238,Low,1905,Qtr 3,July,9,7,Lake Davidtown,1905,Reduced Content-Based Standardization,Manned,3,Communication,59,Solar Propulsion
$20.4M,"India, Russia",France,165,Low,1905,Qtr 3,July,13,7,South Michael,1905,Implemented Actuating Complexity,Manned,3,Research,53,Nuclear Propulsion
$7.4M,"India, Russia",France,363,Medium,1905,Qtr 2,June,26,6,Danaville,1905,Triple-Buffered Didactic Open Architecture,Unmanned,2,Communication,55,Traditional Rocket
$23.2M,"India, Russia",Germany,62,Low,1905,Qtr 3,July,15,7,New Brendaport,1905,Multi-Lateral 5Thgeneration System Engine,Manned,3,Navigation,100,Ai Navigation
$15.3M,"India, Russia",India,66,Low,1905,Qtr 2,June,30,6,Pricehaven,1905,Diverse Exuding Open System,Manned,2,Navigation,82,Traditional Rocket
$44.6M,"India, Russia",Japan,228,High,1905,Qtr 3,July,14,7,Port Lisa,1905,Public-Key Dynamic Capability,Unmanned,3,Communication,67,Nuclear Propulsion
$13.9M,"India, Russia",Japan,189,Low,1905,Qtr 2,June,26,6,Port Megan,1905,Future-Proofed Composite Time-Frame,Unmanned,2,Spy,62,Reusable Rocket
$37.6M,"India, Russia",Japan,100,Medium,1905,Qtr 2,June,22,6,New Matthewfurt,1905,Upgradable Bifurcated Project,Manned,2,Navigation,55,Traditional Rocket
$46.5M,"India, Russia",Russia,191,Low,1905,Qtr 2,June,25,6,East Christopher,1905,Down-Sized Empowering Circuit,Manned,2,Communication,74,Reusable Rocket
$17.0M,"India, Russia",Uae,98,High,1905,Qtr 3,July,3,7,Nguyenton,1905,Synergized Multi-Tasking Hardware,Unmanned,3,Weather,95,Nuclear Propulsion
$18.1M,"India, Russia",Uae,249,Medium,1905,Qtr 2,June,22,6,East Nichole,1905,Extended Web-Enabled Challenge,Unmanned,2,Weather,97,Traditional Rocket
$45.7M,"India, Russia",Uk,121,High,1905,Qtr 3,July,9,7,Port Christian,1905,User-Centric Object-Oriented Standardization,Manned,3,Navigation,97,Solar Propulsion
$46.1M,"India, Russia",Uk,125,Medium,1905,Qtr 3,July,14,7,West Brent,1905,Virtual Non-Volatile Productivity,Manned,3,Spy,58,Solar Propulsion
$24.6M,"India, Russia",Usa,7,Low,1905,Qtr 2,June,24,6,East Jennifer,1905,Inverse Grid-Enabled Functionalities,Manned,2,Communication,69,Nuclear Propulsion
$47.1M,"India, Russia",Usa,241,Low,1905,Qtr 3,July,12,7,Maldonadofort,1905,Cross-Group Bandwidth-Monitored Help-Desk,Unmanned,3,Weather,68,Nuclear Propulsion
$30.3M,"India, Russia, China",Japan,107,Medium,1905,Qtr 3,July,7,7,Reynoldsmouth,1905,Advanced Explicit Archive,Unmanned,3,Spy,87,Reusable Rocket
$37.9M,"India, Russia, China",Usa,217,Medium,1905,Qtr 2,June,29,6,North Brittanyside,1905,Reduced 5Thgeneration Paradigm,Manned,2,Navigation,76,Reusable Rocket
$23.2M,"India, Russia, France",Japan,201,Medium,1905,Qtr 3,July,11,7,Kerrport,1905,Synergistic Executive Secured Line,Manned,3,Navigation,60,Traditional Rocket
$18.0M,"India, Russia, France",Usa,338,Low,1905,Qtr 3,July,13,7,Marychester,1905,Operative Full-Range Service-Desk,Unmanned,3,Communication,59,Solar Propulsion
$44.8M,"India, Russia, Germany",India,110,Medium,1905,Qtr 2,June,24,6,Port Kimberly,1905,User-Centric Leadingedge Productivity,Manned,2,Communication,80,Traditional Rocket
$39.1M,"India, Russia, Germany",Uk,92,Low,1905,Qtr 2,June,26,6,New Lydia,1905,Reduced Demand-Driven Challenge,Manned,2,Research,64,Ai Navigation
$31.1M,"India, Russia, Israel",China,203,Medium,1905,Qtr 3,July,13,7,Nicolebury,1905,Cross-Group Bandwidth-Monitored Core,Manned,3,Navigation,92,Solar Propulsion
$41.1M,"India, Russia, Israel",France,246,Medium,1905,Qtr 3,July,9,7,New Julie,1905,Persevering Transitional Architecture,Unmanned,3,Navigation,64,Traditional Rocket
$8.6M,"India, Russia, Japan",China,165,Low,1905,Qtr 2,June,27,6,New Hunterfurt,1905,Face-To-Face Responsive System Engine,Unmanned,2,Communication,56,Solar Propulsion
$27.7M,"India, Russia, Uae",China,230,Medium,1905,Qtr 3,July,6,7,East Pattyville,1905,Cloned Bottom-Line Parallelism,Unmanned,3,Spy,64,Ai Navigation
$23.9M,"India, Russia, Usa",China,146,Medium,1905,Qtr 2,June,26,6,Lawrenceshire,1905,Vision-Oriented Optimizing Data-Warehouse,Manned,2,Research,57,Ai Navigation
$47.5M,"India, Russia, Usa",Uk,168,High,1905,Qtr 3,July,2,7,West Brian,1905,Open-Source 5Thgeneration Approach,Unmanned,3,Research,94,Nuclear Propulsion
$26.7M,"India, Russia, Usa",Uk,4,Medium,1905,Qtr 3,July,12,7,Morganside,1905,Monitored Optimal Access,Unmanned,3,Communication,59,Traditional Rocket
$24.3M,"India, Uae",China,301,Low,1905,Qtr 2,June,30,6,Ericchester,1905,Secured Real-Time Info-Mediaries,Manned,2,Navigation,54,Traditional Rocket
$19.7M,"India, Uae",China,22,Medium,1905,Qtr 2,June,24,6,Port Damonfort,1905,Customer-Focused Analyzing Time-Frame,Unmanned,2,Research,72,Ai Navigation
$16.5M,"India, Uae",Japan,304,High,1905,Qtr 3,July,17,7,Lake Erin,1905,Synergistic National Matrix,Manned,3,Research,79,Reusable Rocket
$25.3M,"India, Uae",Uae,193,High,1905,Qtr 2,June,28,6,Murphyland,1905,Synergized Responsive Structure,Manned,2,Communication,67,Ai Navigation
$35.0M,"India, Uae",Uae,22,Low,1905,Qtr 3,July,10,7,North Brian,1905,Cloned Modular Infrastructure,Unmanned,3,Spy,59,Nuclear Propulsion
$22.7M,"India, Uae",Usa,141,High,1905,Qtr 3,July,8,7,West Cassandra,1905,Polarized Leadingedge Archive,Manned,3,Research,52,Traditional Rocket
$47.0M,"India, Uae",Usa,198,Low,1905,Qtr 3,July,6,7,Wendyside,1905,Inverse Zero Tolerance Toolset,Unmanned,3,Research,68,Solar Propulsion
$40.0M,"India, Uae, China",Israel,19,High,1905,Qtr 3,July,8,7,Thompsonshire,1905,Expanded Background Matrices,Unmanned,3,Spy,52,Traditional Rocket
$26.9M,"India, Uae, China",Russia,81,High,1905,Qtr 3,July,3,7,West Anthony,1905,Vision-Oriented Disintermediate Infrastructure,Unmanned,3,Communication,67,Nuclear Propulsion
$1.2M,"India, Uae, France",Uae,138,Medium,1905,Qtr 3,July,2,7,Caseyside,1905,Business-Focused Context-Sensitive Initiative,Manned,3,Communication,93,Nuclear Propulsion
$6.3M,"India, Uae, Germany",China,135,Medium,1905,Qtr 3,July,10,7,Osbornborough,1905,Diverse Well-Modulated Encoding,Unmanned,3,Communication,89,Reusable Rocket
$14.6M,"India, Uae, Germany",India,104,Low,1905,Qtr 3,July,16,7,Kimville,1905,Intuitive Discrete Pricing Structure,Manned,3,Research,50,Ai Navigation
$43.3M,"India, Uae, Germany",Israel,265,Low,1905,Qtr 3,July,17,7,Patelside,1905,Public-Key Actuating Capacity,Manned,3,Research,65,Reusable Rocket
$40.6M,"India, Uae, Germany",Uk,96,Low,1905,Qtr 2,June,30,6,Collierhaven,1905,Polarized Multimedia Paradigm,Unmanned,2,Research,62,Traditional Rocket
$26.7M,"India, Uae, Israel",Russia,84,Medium,1905,Qtr 2,June,29,6,Morrowhaven,1905,Robust Even-Keeled Task-Force,Unmanned,2,Communication,66,Solar Propulsion
$25.9M,"India, Uae, Israel",Uae,100,High,1905,Qtr 3,July,10,7,Grayfort,1905,Horizontal Bi-Directional Infrastructure,Manned,3,Communication,92,Reusable Rocket
$4.8M,"India, Uae, Israel",Uae,122,Low,1905,Qtr 3,July,2,7,Jasonborough,1905,Robust Grid-Enabled Website,Unmanned,3,Spy,93,Nuclear Propulsion
$47.7M,"India, Uae, Japan",France,141,High,1905,Qtr 2,June,23,6,Brooksberg,1905,Focused Contextually-Based Architecture,Unmanned,2,Research,79,Solar Propulsion
$2.8M,"India, Uae, Japan",Russia,20,High,1905,Qtr 3,July,13,7,Port Christopherton,1905,Total Multi-Tasking Solution,Unmanned,3,Research,60,Reusable Rocket
$43.3M,"India, Uae, Japan",Usa,286,High,1905,Qtr 3,July,4,7,Lake Tiffany,1905,Right-Sized Bandwidth-Monitored Leverage,Unmanned,3,Communication,80,Solar Propulsion
$12.5M,"India, Uae, Uk",Usa,150,Low,1905,Qtr 3,July,9,7,East Johnport,1905,Configurable Needs-Based Success,Manned,3,Navigation,91,Reusable Rocket
$48.5M,"India, Uae, Usa",Israel,142,Low,1905,Qtr 2,June,25,6,North Bruce,1905,Fundamental Executive Time-Frame,Unmanned,2,Navigation,85,Nuclear Propulsion
$35.6M,"India, Uae, Usa",Japan,107,High,1905,Qtr 3,July,10,7,Jasonhaven,1905,Configurable Empowering Paradigm,Manned,3,Navigation,79,Traditional Rocket
$30.6M,"India, Uk",India,337,Low,1905,Qtr 3,July,13,7,Ricktown,1905,Networked Composite Encryption,Manned,3,Navigation,78,Reusable Rocket
$11.8M,"India, Uk",India,150,Medium,1905,Qtr 3,July,6,7,Staceyville,1905,Devolved Encompassing Emulation,Unmanned,3,Spy,86,Reusable Rocket
$0.8M,"India, Uk",Israel,76,Low,1905,Qtr 2,June,27,6,Johnhaven,1905,Inverse Hybrid Portal,Unmanned,2,Weather,81,Reusable Rocket
$29.8M,"India, Uk",Israel,270,Medium,1905,Qtr 2,June,25,6,New Steven,1905,Assimilated Encompassing Project,Manned,2,Spy,52,Traditional Rocket
$10.5M,"India, Uk",Japan,2,Low,1905,Qtr 2,June,22,6,East Veronica,1905,Customer-Focused Directional Moratorium,Manned,2,Navigation,91,Ai Navigation
$9.8M,"India, Uk",Japan,94,Medium,1905,Qtr 3,July,9,7,Port Derekshire,1905,Team-Oriented Cohesive Orchestration,Unmanned,3,Research,74,Traditional Rocket
$43.5M,"India, Uk",Uae,215,Low,1905,Qtr 3,July,6,7,Riveratown,1905,Balanced Client-Server Core,Unmanned,3,Spy,63,Traditional Rocket
$36.1M,"India, Uk",Usa,99,High,1905,Qtr 3,July,2,7,Sandrabury,1905,Synchronized Intangible Forecast,Manned,3,Research,60,Solar Propulsion
$45.6M,"India, Uk, China",China,262,Low,1905,Qtr 2,June,24,6,Lake Richard,1905,Persistent Interactive Knowledgebase,Unmanned,2,Weather,67,Solar Propulsion
$45.5M,"India, Uk, China",Germany,116,Medium,1905,Qtr 2,June,27,6,Christophershire,1905,Synchronized Even-Keeled Challenge,Unmanned,2,Spy,61,Nuclear Propulsion
$6.6M,"India, Uk, China",India,25,Low,1905,Qtr 3,July,4,7,South William,1905,Innovative 6Thgeneration Algorithm,Unmanned,3,Weather,69,Solar Propulsion
$4.2M,"India, Uk, Germany",Uae,1,High,1905,Qtr 3,July,8,7,Johnberg,1905,Open-Architected Context-Sensitive Knowledge User,Unmanned,3,Weather,84,Traditional Rocket
$44.7M,"India, Uk, Russia",India,360,Low,1905,Qtr 3,July,5,7,East Matthew,1905,User-Friendly Needs-Based Throughput,Manned,3,Navigation,94,Nuclear Propulsion
$6.8M,"India, Uk, Uae",India,177,Medium,1905,Qtr 3,July,16,7,Hinesbury,1905,Adaptive 24Hour Utilization,Unmanned,3,Spy,74,Solar Propulsion
$28.6M,"India, Uk, Uae",Uk,303,Low,1905,Qtr 3,July,4,7,Angelicaview,1905,Quality-Focused Intermediate Throughput,Manned,3,Weather,71,Traditional Rocket
$31.1M,"India, Uk, Usa",Israel,222,Low,1905,Qtr 3,July,2,7,North Mitchell,1905,Diverse Attitude-Oriented Projection,Unmanned,3,Research,53,Solar Propulsion
$38.5M,"India, Uk, Usa",Israel,343,Medium,1905,Qtr 3,July,4,7,Keithfort,1905,Customizable Interactive Orchestration,Unmanned,3,Communication,59,Ai Navigation
$47.3M,"India, Uk, Usa",Uae,69,Low,1905,Qtr 3,July,13,7,Brownland,1905,Customizable Asymmetric Framework,Unmanned,3,Research,96,Traditional Rocket
$36.4M,"India, Uk, Usa",Uk,1,High,1905,Qtr 3,July,4,7,Gilmorestad,1905,Face-To-Face User-Facing Matrices,Unmanned,3,Weather,73,Nuclear Propulsion
$6.7M,"India, Usa",France,124,Low,1905,Qtr 2,June,28,6,East Marcus,1905,Re-Engineered Human-Resource Protocol,Unmanned,2,Spy,73,Solar Propulsion
$33.9M,"India, Usa",France,151,Low,1905,Qtr 3,July,2,7,Briannabury,1905,Cross-Group Demand-Driven Synergy,Unmanned,3,Weather,73,Solar Propulsion
$10.3M,"India, Usa",France,327,Medium,1905,Qtr 3,July,8,7,Lake Mark,1905,Re-Contextualized Optimizing Challenge,Manned,3,Communication,98,Solar Propulsion
$12.7M,"India, Usa",France,124,Medium,1905,Qtr 3,July,14,7,West Carlosbury,1905,Implemented Actuating Website,Unmanned,3,Weather,66,Ai Navigation
$4.7M,"India, Usa",Germany,239,High,1905,Qtr 3,July,15,7,Crystalstad,1905,User-Friendly Disintermediate Toolset,Manned,3,Communication,57,Nuclear Propulsion
$33.2M,"India, Usa",India,327,Low,1905,Qtr 2,June,29,6,South John,1905,Advanced Mobile Installation,Manned,2,Navigation,68,Solar Propulsion
$15.1M,"India, Usa",Japan,227,High,1905,Qtr 3,July,6,7,South Anitafort,1905,Profound Motivating Time-Frame,Unmanned,3,Navigation,96,Ai Navigation
$21.7M,"India, Usa",Uae,295,Low,1905,Qtr 2,June,23,6,Eddiestad,1905,Versatile Local Utilization,Manned,2,Spy,97,Solar Propulsion
$44.6M,"India, Usa, France",France,305,High,1905,Qtr 2,June,25,6,Brownland,1905,Operative Full-Range Time-Frame,Manned,2,Spy,100,Nuclear Propulsion
$7.6M,"India, Usa, France",Israel,112,High,1905,Qtr 2,June,27,6,Kennethborough,1905,Reactive Object-Oriented Approach,Manned,2,Weather,59,Nuclear Propulsion
$13.7M,"India, Usa, Germany",India,277,Medium,1905,Qtr 3,July,3,7,Stephenland,1905,Mandatory Eco-Centric Matrix,Manned,3,Navigation,94,Reusable Rocket
$23.4M,"India, Usa, Germany",Russia,91,Low,1905,Qtr 3,July,7,7,Kristaborough,1905,Ameliorated Client-Server Data-Warehouse,Manned,3,Communication,85,Nuclear Propulsion
$19.6M,"India, Usa, Israel",India,74,Medium,1905,Qtr 3,July,4,7,South Jacqueline,1905,Focused 4Thgeneration Access,Unmanned,3,Research,96,Traditional Rocket
$13.9M,"India, Usa, Israel",Russia,111,Low,1905,Qtr 3,July,17,7,Briannafurt,1905,Ergonomic Logistical Secured Line,Manned,3,Weather,96,Ai Navigation
$38.8M,"India, Usa, Russia",Uk,191,Medium,1905,Qtr 3,July,7,7,North Alexanderview,1905,Quality-Focused Discrete Implementation,Unmanned,3,Weather,50,Ai Navigation
$3.2M,"India, Usa, Russia",Usa,284,Low,1905,Qtr 3,July,4,7,Leonview,1905,Balanced Motivating Algorithm,Unmanned,3,Spy,65,Nuclear Propulsion
